medcode,readcode,readterm
12586,1Z11.00,Chronic kidney disease stage 2
12566,1Z12.00,Chronic kidney disease stage 3
12479,1Z13.00,Chronic kidney disease stage 4
12585,1Z14.00,Chronic kidney disease stage 5
94965,1Z15.00,Chronic kidney disease stage 3A
95179,1Z16.00,Chronic kidney disease stage 3B
95146,1Z19.00,Chronic kidney disease stage 2 with proteinuria
95121,1Z1A.00,Chronic kidney disease stage 2 without proteinuria
94793,1Z1B.00,Chronic kidney disease stage 3 with proteinuria
95123,1Z1C.00,Chronic kidney disease stage 3 without proteinuria
95408,1Z1D.00,Chronic kidney disease stage 3A with proteinuria
95175,1Z1E.00,Chronic kidney disease stage 3A without proteinuria
95178,1Z1F.00,Chronic kidney disease stage 3B with proteinuria
95177,1Z1G.00,Chronic kidney disease stage 3B without proteinuria
95122,1Z1H.00,Chronic kidney disease stage 4 with proteinuria
95406,1Z1J.00,Chronic kidney disease stage 4 without proteinuria
95508,1Z1K.00,Chronic kidney disease stage 5 with proteinuria
95405,1Z1L.00,Chronic kidney disease stage 5 without proteinuria
105383,K052.00,Chronic kidney disease stage 2
104619,K053.00,Chronic kidney disease stage 3
104963,K054.00,Chronic kidney disease stage 4
105151,K055.00,Chronic kidney disease stage 5
97979,1Z19.11,CKD stage 2 with proteinuria
97978,1Z1A.11,CKD stage 2 without proteinuria
95145,1Z1B.11,CKD stage 3 with proteinuria
95188,1Z1C.11,CKD stage 3 without proteinuria
95571,1Z1D.11,CKD stage 3A with proteinuria
95176,1Z1E.11,CKD stage 3A without proteinuria
100633,1Z1G.11,CKD stage 3B without proteinuria
95180,1Z1F.11,CKD stage 3B with proteinuria
99312,1Z1H.11,CKD stage 4 with proteinuria
97587,1Z1J.11,CKD stage 4 without proteinuria
99160,1Z1K.11,CKD stage 5 with proteinuria
97683,1Z1L.11,CKD stage 5 without proteinuria
