prodcode,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader
21846,56770020,Pirozip 20 capsules (Ashbourne Pharmaceuticals Ltd),Piroxicam,20mg,Capsule,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
33669,61923020,Diclofenac 50mg Gastro-resistant tablet (Genus Pharmaceuticals Ltd),Diclofenac sodium,50mg,Gastro-resistant tablet,Oral,10010100/10010450,Non-steroidal Anti-inflammatory Drugs/Acute Attacks Of Gout
32601,79375020,Econac 100mg suppositories (AMCo),Diclofenac sodium,100mg,Suppository,Rectal,10010100,Non-steroidal Anti-inflammatory Drugs
37002,93924020,Nurofen Express 200mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd),Ibuprofen,200mg,Capsule,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
33801,78352020,Opustan 250mg Capsule (Opus Pharmaceuticals Ltd),Mefenamic acid,250mg,Capsule,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
3182,49559020,Froben 50mg tablets (Abbott Laboratories Ltd),Flurbiprofen,50mg,Tablet,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
14678,75884020,Defanac sr 100mg Modified-release tablet (Ranbaxy (UK) Ltd),Diclofenac sodium,100mg,Modified-release tablet,Oral,10010100/10010450,Non-steroidal Anti-inflammatory Drugs/Acute Attacks Of Gout
2235,67974020,Relifex 500mg tablets (Meda Pharmaceuticals Ltd),Nabumetone,500mg,Tablet,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
50602,8379020,Diclofenac potassium 50mg tablets (Alliance Healthcare (Distribution) Ltd),Diclofenac potassium,50mg,Tablet,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
29037,81085020,Valdic 100 Retard tablets (Fannin UK Ltd),Diclofenac sodium,100mg,Modified-release tablet,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
2387,81620020,Arthrotec 75 gastro-resistant tablets (Pfizer Ltd),Diclofenac sodium/Misoprostol,75mg + 200microgram,Gastro-resistant tablet,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
50266,8136020,Ibuprofen 200mg caplets (The Boots Company Plc),Ibuprofen,200mg,Tablet,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
13818,60823020,Nabumetone 500mg tablets (Actavis UK Ltd),Nabumetone,500mg,Tablet,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
30164,88340020,Lemsip Cold and Flu Sinus 12 Hr Ibuprofen + Pseudoephedrine modified-release capsules (Reckitt Benckiser Healthcare (UK) Ltd),Pseudoephedrine hydrochloride/Ibuprofen,45mg + 300mg,Modified-release capsule,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
46967,59436020,Mefenamic acid 250mg Capsule (Sandoz Ltd),Mefenamic acid,250mg,Capsule,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
17532,84868020,Dicloflex Retard 100mg tablets (Kent Pharmaceuticals Ltd),Diclofenac sodium,100mg,Modified-release tablet,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
35653,91953020,Etopan XL 600mg tablets (Taro Pharmaceuticals (UK) Ltd),Etodolac,600mg,Modified-release tablet,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
46848,75583020,Naproxen 500mg Gastro-resistant tablet (Almus Pharmaceuticals Ltd),Naproxen,500mg,Gastro-resistant tablet,Oral,10010100/10010450,Non-steroidal Anti-inflammatory Drugs/Acute Attacks Of Gout
3326,50923020,Oruvail 100mg Modified-release capsule (Hawgreen Ltd),Ketoprofen,100mg,Modified-release capsule,Oral,10010100/10010450,Non-steroidal Anti-inflammatory Drugs/Acute Attacks Of Gout
64245,43104021,Celecoxib 200mg capsules (A A H Pharmaceuticals Ltd),Celecoxib,200mg,Capsule,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
35935,72118020,Meloxicam 7.5mg tablets (Somex Pharma),Meloxicam,7.5mg,Tablet,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
57006,8075020,Diclofenac sodium 25mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),Diclofenac sodium,25mg,Gastro-resistant tablet,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
51293,8380020,Diclofenac potassium 50mg tablets (Phoenix Healthcare Distribution Ltd),Diclofenac potassium,50mg,Tablet,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
9465,84244020,Diclotard 100 100mg Modified-release tablet (Galen Ltd),Diclofenac sodium,100mg,Modified-release tablet,Oral,10010100/10010450,Non-steroidal Anti-inflammatory Drugs/Acute Attacks Of Gout
18527,86224020,Mandafen 400mg tablets (M & A Pharmachem Ltd),Ibuprofen,400mg,Tablet,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
2386,53298020,Voltarol Retard 100mg tablets (Novartis Pharmaceuticals UK Ltd),Diclofenac sodium,100mg,Modified-release tablet,Oral,10010100,Non-steroidal Anti-inflammatory Drugs
