prodcode,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader
16434,86494020,Risperidone 25mg powder and solvent for suspension for injection vials,Risperidone,25mg,Powder and solvent for suspension for injection,Intramuscular,4020102,Second-generation Antipsychotic Drugs
21709,87047020,Seroquel 300mg tablets (AstraZeneca UK Ltd),Quetiapine fumarate,300mg,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
9794,85206020,Quetiapine 200mg tablets,Quetiapine fumarate,200mg,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
65321,74836020,Risperidone 500microgram tablets (Teva UK Ltd),Risperidone,500microgram,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
4820,49437020,Risperdal 1mg tablets (Janssen-Cilag Ltd),Risperidone,1mg,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
9340,49439020,Risperdal 3mg tablets (Janssen-Cilag Ltd),Risperidone,3mg,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
667,77912020,Risperidone 500microgram tablets,Risperidone,500microgram,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
52076,35008020,Amisulpride 12.5mg/5ml oral solution,,,,,4020102,Second-generation Antipsychotic Drugs
41070,97147020,Denzapine 50mg tablets (Britannia Pharmaceuticals Ltd),Clozapine,50mg,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
4992,86000020,Solian 200 tablets (Sanofi),Amisulpride,200mg,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
37501,93743020,Paliperidone 9mg modified-release tablets,Paliperidone,9mg,Modified Release Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
11799,73800020,Risperdal 6mg tablets (Janssen-Cilag Ltd),Risperidone,6mg,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
7039,87045020,Quetiapine 300mg tablets,Quetiapine fumarate,300mg,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
53552,42176020,Quetiapine 25mg tablets (Zentiva),Quetiapine fumarate,25mg,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
62531,31406021,Atrolak XL 400mg tablets (Accord Healthcare Ltd),Quetiapine fumarate,400mg,Modified-release tablet,Oral,4020102,Second-generation Antipsychotic Drugs
60842,40535020,Quetiapine 100mg tablets (Alliance Healthcare (Distribution) Ltd),Quetiapine fumarate,100mg,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
32076,91139020,Aripiprazole 10mg orodispersible tablets sugar free,Aripiprazole,10mg,Orodispersible tablet,Oral,4020102,Second-generation Antipsychotic Drugs
61748,27360021,Ebesque XL 200mg tablets (DB Ashbourne Ltd),Quetiapine fumarate,200mg,Modified-release tablet,Oral,4020102,Second-generation Antipsychotic Drugs
57114,10470020,Abilify 5mg tablets (Mawdsley-Brooks & Company Ltd),Aripiprazole,5mg,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
35141,92717020,Risperidone 3mg orodispersible tablets sugar free,Risperidone,3mg,Orodispersible Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
57412,40631020,Sondate XL 400mg tablets (Teva UK Ltd),Quetiapine fumarate,400mg,Modified-release tablet,Oral,4020102,Second-generation Antipsychotic Drugs
5283,85203020,Quetiapine 25mg tablets,Quetiapine fumarate,25mg,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
39237,95793020,Seroquel XL 400mg tablets (AstraZeneca UK Ltd),Quetiapine fumarate,400mg,Modified-release tablet,Oral,4020102,Second-generation Antipsychotic Drugs
31098,91141020,Aripiprazole 15mg orodispersible tablets sugar free,Aripiprazole,15mg,Orodispersible Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
63511,74789020,Risperidone 1mg tablets (Actavis UK Ltd),Risperidone,1mg,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
9475,73798020,Risperdal 4mg tablets (Janssen-Cilag Ltd),Risperidone,4mg,Tablet,Oral,4020102,Second-generation Antipsychotic Drugs
