prodcode,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader
35778,58483020,Labrocol 100mg Tablet (Lagap),Labetalol hydrochloride,100mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
2361,54886020,Trasicor 80mg Tablet (Novartis Pharmaceuticals UK Ltd),Oxprenolol hydrochloride,80mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
40240,49924020,Labetalol 400mg tablets (A A H Pharmaceuticals Ltd),Labetalol hydrochloride,400mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
43251,75323020,Bisoprolol 1.25mg tablets (Mylan Ltd),Bisoprolol fumarate,1.25mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
5478,59376020,Propranolol 10mg/5ml oral solution sugar free,Propranolol hydrochloride,2mg/1ml,Oral solution,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
58763,47116020,Bisoprolol 2.5mg tablets (Waymade Healthcare Plc),Bisoprolol fumarate,2.5mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
63535,1085020,Bisoprolol 5mg tablets (Relonchem Ltd),Bisoprolol fumarate,5mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
58491,924020,Propranolol 40mg tablets (Alliance Healthcare (Distribution) Ltd),Propranolol hydrochloride,40mg,Tablet,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
34378,50435020,Propranolol 10mg tablets (A A H Pharmaceuticals Ltd),Propranolol hydrochloride,10mg,Tablet,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
7543,56162020,Kalten capsules (M & A Pharmachem Ltd),Atenolol/Amiloride hydrochloride/Hydrochlorothiazide,50mg + 2.5mg + 25mg,Capsule,Oral,2040100,Beta-adrenoceptor Blocking Drugs With Diuretic
29998,69479020,Metoros 190mg Tablet (Novartis Pharmaceuticals UK Ltd),Metoprolol,190mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
34741,67913020,Carvedilol 3.125mg tablets (IVAX Pharmaceuticals UK Ltd),Carvedilol,3.125mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
33839,62689020,Bisoprolol 10mg tablets (Actavis UK Ltd),Bisoprolol fumarate,10mg,Tablet,Oral,02040000/02050500/02100100,Beta-adrenoceptor Blocking Drugs/Drugs Affecting The Renin-angiotensin System/Management Of Myocardial Infarction
55416,71580020,Propranolol 40mg tablets (Almus Pharmaceuticals Ltd),Propranolol hydrochloride,40mg,Tablet,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
64160,15600021,Propranolol 5mg/5ml oral solution sugar free (AM Distributions (Yorkshire) Ltd),Propranolol hydrochloride,1mg/1ml,Oral solution,Oral,02040000/04070402/04090300/06020200,"Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs"
4588,52291020,Visken 5mg Tablet (Sovereign Medical Ltd),Pindolol,5mg,Tablet,Oral,2040000,Beta-adrenoceptor Blocking Drugs
