medcode,readcode,readterm
318,B210.00,Malignant neoplasm of glottis
319,B21..00,Malignant neoplasm of larynx
348,B34..11,Ca female breast
579,BBE1.00,[M]Malignant melanoma NOS
779,B49..00,Malignant neoplasm of urinary bladder
780,B46..00,Malignant neoplasm of prostate
865,B32..00,Malignant melanoma of skin
1056,B5z..00,Malignant neoplasm of other and unspecified site NOS
1062,B10..00,Malignant neoplasm of oesophagus
1220,B13..00,Malignant neoplasm of colon
1481,B600.00,Reticulosarcoma
1599,B4A0.00,Malignant neoplasm of kidney parenchyma
1624,BB2A.00,[M]Squamous cell carcinoma NOS
1800,B141.00,Malignant neoplasm of rectum
1950,BB4..00,[M]Transitional cell papillomas and carcinomas
1952,B580.00,Secondary malignant neoplasm of kidney
1986,B440.11,Cancer of ovary
2272,BB5..11,[M]Adenocarcinomas
2462,B61..00,Hodgkin's disease
2492,B33z.00,Malignant neoplasm of skin NOS
2587,B22z.11,Lung cancer
2744,B40..00,"Malignant neoplasm of uterus, part unspecified"
2747,B41..00,Malignant neoplasm of cervix uteri
2755,B....11,Cancers
2815,B133.00,Malignant neoplasm of sigmoid colon
2890,B430200,Malignant neoplasm of endometrium of corpus uteri
2961,B47z.11,Seminoma of testis
3152,BB13.00,"[M]Carcinoma, metastatic, NOS"
3213,B430.00,"Malignant neoplasm of corpus uteri, excluding isthmus"
3230,B41..11,Cervical carcinoma (uterus)
3279,B831.00,Carcinoma in situ of cervix uteri
3357,B1...11,Carcinoma of digestive organs and peritoneum
3541,B48..00,Malignant neoplasm of penis and other male genital organs
3604,B627.00,Non - Hodgkin's lymphoma
3811,B134.00,Malignant neoplasm of caecum
3903,B22z.00,Malignant neoplasm of bronchus or lung NOS
3968,B34..00,Malignant neoplasm of female breast
3969,BB9M.00,[M]Intracystic carcinoma NOS
4072,B680.00,Acute leukaemia NOS
4087,B831.11,CIN III - carcinoma in situ of cervix
4137,B570.00,Secondary malignant neoplasm of lung
4217,BB5c.00,[M]Parathyroid adenomas and adenocarcinomas
4218,B541.00,Malignant neoplasm of parathyroid gland
4222,B64..11,Lymphatic leukaemia
4250,B68z.00,Leukaemia NOS
4251,B640.00,Acute lymphoid leukaemia
4388,B020.00,Malignant neoplasm of parotid gland
4403,B577.11,Liver metastases
4413,B650.00,Acute myeloid leukaemia
4554,B454.00,Malignant neoplasm of vulva unspecified
4555,B45..00,Malig neop of other and unspecified female genital organs
4852,BB24.12,[M]Verrucous squamous cell carcinoma
4865,B10z.11,Oesophageal cancer
4870,B625.11,"Histiocytosis X (acute, progressive)"
4944,B630.00,Multiple myeloma
5019,8BAD000,Cancer chemotherapy
5062,B30..11,Chondroma
5136,B911013,Choriocarcinoma
5137,B624.11,Leukaemic reticuloendotheliosis
5179,B620.00,Nodular lymphoma (Brill - Symmers disease)
5198,B583000,Secondary malignant neoplasm of brain
5199,B583200,Cerebral metastasis
5455,BB53.00,"[M]Adenocarcinoma, metastatic, NOS"
5637,B53..00,Malignant neoplasm of thyroid gland
5842,B58..00,Secondary malignant neoplasm of other specified sites
5901,B141.12,Rectal carcinoma
6115,B6y0.00,Myeloproliferative disorder
6170,B590.11,Carcinomatosis
