medcode,readcode,readterm
240,G3...00,Ischaemic heart disease
24783,G3...11,Arteriosclerotic heart disease
20416,G3...12,Atherosclerotic heart disease
1792,G3...13,IHD - Ischaemic heart disease
241,G30..00,Acute myocardial infarction
13566,G30..11,Attack - heart
2491,G30..12,Coronary thrombosis
30421,G30..13,Cardiac rupture following myocardial infarction (MI)
1204,G30..14,Heart attack
1677,G30..15,MI - acute myocardial infarction
13571,G30..16,Thrombosis - coronary
17689,G30..17,Silent myocardial infarction
12139,G300.00,Acute anterolateral infarction
17872,G301100,Acute anteroseptal infarction
40429,G301000,Acute anteroapical infarction
14897,G301z00,Anterior myocardial infarction NOS
5387,G301.00,Other specified anterior myocardial infarction
8935,G302.00,Acute inferolateral infarction
29643,G303.00,Acute inferoposterior infarction
23892,G304.00,Posterior myocardial infarction NOS
14898,G305.00,Lateral myocardial infarction NOS
63467,G306.00,True posterior myocardial infarction
3704,G307.00,Acute subendocardial infarction
9507,G307000,Acute non-Q wave infarction
10562,G307100,Acute non-ST segment elevation myocardial infarction
1678,G308.00,Inferior myocardial infarction NOS
30330,G309.00,Acute Q-wave infarct
17133,G30A.00,Mural thrombosis
32854,G30B.00,Acute posterolateral myocardial infarction
29758,G30X.00,Acute transmural myocardial infarction of unspecif site
12229,G30X000,Acute ST segment elevation myocardial infarction
34803,G30y.00,Other acute myocardial infarction
41221,G30y200,Acute septal infarction
46017,G30yz00,Other acute myocardial infarction NOS
62626,G30y100,Acute papillary muscle infarction
28736,G30y000,Acute atrial infarction
14658,G30z.00,Acute myocardial infarction NOS
27951,G31..00,Other acute and subacute ischaemic heart disease
23579,G310.00,Postmyocardial infarction syndrome
15661,G310.11,Dressler's syndrome
19655,G311.14,Angina at rest
39655,G311.12,Impending infarction
1431,G311.13,Unstable angina
4656,G311.11,Crescendo angina
36523,G311.00,Preinfarction syndrome
55137,G311011,MI - myocardial infarction aborted
61072,G311000,Myocardial infarction aborted
7347,G311100,Unstable angina
17307,G311200,Angina at rest
34328,G311300,Refractory angina
18118,G311400,Worsening angina
11983,G311500,Acute coronary syndrome
54251,G311z00,Preinfarction syndrome NOS
39449,G312.00,Coronary thrombosis not resulting in myocardial infarction
39693,G31y200,Subendocardial ischaemia
21844,G31y300,Transient myocardial ischaemia
27977,G31yz00,Other acute and subacute ischaemic heart disease NOS
9413,G31y.00,Other acute and subacute ischaemic heart disease
9276,G31y000,Acute coronary insufficiency
68357,G31y100,Microinfarction of heart
4017,G32..00,Old myocardial infarction
16408,G32..11,Healed myocardial infarction
17464,G32..12,Personal history of myocardial infarction
1430,G33..00,Angina pectoris
18125,G330000,Nocturnal angina
20095,G330.00,Angina decubitus
29902,G330z00,Angina decubitus NOS
12986,G331.00,Prinzmetal's angina
11048,G331.11,Variant angina pectoris
36854,G332.00,Coronary artery spasm
28554,G33zz00,Angina pectoris NOS
66388,G33z000,Status anginosus
54535,G33z100,Stenocardia
7696,G33z200,Syncope anginosa
1414,G33z300,Angina on effort
32450,G33z400,Ischaemic chest pain
9555,G33z500,Post infarct angina
26863,G33z600,New onset angina
12804,G33z700,Stable angina
28138,G34..00,Other chronic ischaemic heart disease
3999,G340000,Single coronary vessel disease
5254,G340100,Double coronary vessel disease
1655,G340.11,Triple vessel disease of the heart
1344,G340.12,Coronary artery disease
5413,G340.00,Coronary atherosclerosis
36609,G342.00,Atherosclerotic cardiovascular disease
7320,G343.00,Ischaemic cardiomyopathy
29421,G344.00,Silent myocardial ischaemia
35713,G34yz00,Other specified chronic ischaemic heart disease NOS
34633,G34y.00,Other specified chronic ischaemic heart disease
23078,G34y100,Chronic myocardial ischaemia
24540,G34y000,Chronic coronary insufficiency
18889,G34z000,Asymptomatic coronary heart disease
15754,G34z.00,Other chronic ischaemic heart disease NOS
18842,G35..00,Subsequent myocardial infarction
45809,G350.00,Subsequent myocardial infarction of anterior wall
72562,G353.00,Subsequent myocardial infarction of other sites
46166,G35X.00,Subsequent myocardial infarction of unspecified site
38609,G351.00,Subsequent myocardial infarction of inferior wall
37657,G362.00,Ventric septal defect/curr comp fol acut myocardal infarctn
23708,G361.00,Atrial septal defect/curr comp folow acut myocardal infarct
29553,G366.00,"Thrombosis atrium,auric append&vent/curr comp foll acute MI"
69474,G365.00,Rupture papillary muscle/curr comp fol acute myocard infarct
24126,G360.00,Haemopericardium/current comp folow acut myocard infarct
59940,G364.00,Ruptur chordae tendinae/curr comp fol acute myocard infarct
36423,G36..00,Certain current complication follow acute myocardial infarct
59189,G363.00,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI
41835,G384.00,Postoperative subendocardial myocardial infarction
46276,G381.00,Postoperative transmural myocardial infarction inferior wall
106812,G383.00,Postoperative transmural myocardial infarction unspec site
32272,G38..00,Postoperative myocardial infarction
46112,G380.00,Postoperative transmural myocardial infarction anterior wall
68748,G38z.00,"Postoperative myocardial infarction, unspecified"
22383,G3y..00,Other specified ischaemic heart disease
1676,G3z..00,Ischaemic heart disease NOS
96838,Gyu3400,[X]Acute transmural myocardial infarction of unspecif site
