medcode,readcode,readterm
26862,7B06300,Exploration of renal transplant
17253,8L50.00,Renal transplant planned
2999,K01..00,Nephrotic syndrome
9840,K010.00,Nephrotic syndrome with proliferative glomerulonephritis
1803,K011.00,Nephrotic syndrome with membranous glomerulonephritis
99644,K012.00,Nephrotic syndrome+membranoproliferative glomerulonephritis
29634,K013.00,Nephrotic syndrome with minimal change glomerulonephritis
40349,K013.11,Lipoid nephrosis
57926,K013.12,Steroid sensitive nephrotic syndrome
23913,K014.00,"Nephrotic syndrome, minor glomerular abnormality"
22852,K015.00,"Nephrotic syndrome, focal and segmental glomerular lesions"
19316,K016.00,"Nephrotic syndrome, diffuse membranous glomerulonephritis"
21947,K017.00,Nephrotic syn difus mesangial prolifertiv glomerulonephritis
50472,K018.00,"Nephrotic syn,difus endocapilary proliftv glomerulonephritis"
21989,K019.00,"Nephrotic syn,diffuse mesangiocapillary glomerulonephritis"
56987,K01A.00,"Nephrotic syndrome, dense deposit disease"
17365,K01B.00,"Nephrotic syndrome, diffuse crescentic glomerulonephritis"
63786,K01w.00,Congenital nephrotic syndrome
72303,K01w000,Finnish nephrosis syndrome
47922,K01x000,Nephrotic syndrome in amyloidosis
2471,K01x100,Nephrotic syndrome in diabetes mellitus
45499,K01x111,Kimmelstiel - Wilson disease
99201,K01x200,Nephrotic syndrome in malaria
58750,K01x300,Nephrotic syndrome in polyarteritis nodosa
47672,K01x400,Nephrotic syndrome in systemic lupus erythematosus
22205,K01x411,Lupus nephritis
94373,K01y.00,Nephrotic syndrome with other pathological kidney lesions
27427,K01z.00,Nephrotic syndrome NOS
7804,K02..00,Chronic glomerulonephritis
10647,K02..11,Nephritis - chronic
11875,K02..12,Nephropathy - chronic
34998,K020.00,Chronic proliferative glomerulonephritis
10809,K021.00,Chronic membranous glomerulonephritis
61494,K022.00,Chronic membranoproliferative glomerulonephritis
65064,K023.00,Chronic rapidly progressive glomerulonephritis
60960,K02y.00,Other chronic glomerulonephritis
97758,K02y000,Chronic glomerulonephritis + diseases EC
4669,K02y200,Chronic focal glomerulonephritis
65400,K02y300,Chronic diffuse glomerulonephritis
63615,K02yz00,Other chronic glomerulonephritis NOS
15097,K02z.00,Chronic glomerulonephritis NOS
512,K05..00,Chronic renal failure
10081,K05..11,Chronic uraemia
53852,K05..12,End stage renal failure
4654,K100.00,Chronic pyelonephritis
99631,K100000,Chronic pyelonephritis without medullary necrosis
57568,K100100,Chronic pyelonephritis with medullary necrosis
21158,K100200,Chronic pyelitis
25055,K100300,Chronic pyonephrosis
35360,K100400,Nonobstructive reflux-associated chronic pyelonephritis
48855,K100500,Chronic obstructive pyelonephritis
2939,K100600,Calculous pyelonephritis
48111,K100z00,Chronic pyelonephritis NOS
11553,SP08300,Kidney transplant failure and rejection
54990,TB00100,"Kidney transplant with complication, without blame"
18774,TB00111,"Renal transplant with complication, without blame"
5911,ZV42000,[V]Kidney transplanted
6712,K050.00,End stage renal failure
