medcode,readcode,readterm
91943,C10EC11,Type I diabetes mellitus with polyneuropathy
101311,C10EC12,Insulin dependent diabetes mellitus with polyneuropathy
56885,C10K000,Type A insulin resistance without complication
64668,C10FJ11,Insulin treated Type II diabetes mellitus
106061,C10FP11,Type II diabetes mellitus with ketoacidotic coma
13279,C104y00,Other specified diabetes mellitus with renal complications
36633,C109K00,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
52236,C10A.00,Malnutrition-related diabetes mellitus
17262,C109600,Non-insulin-dependent diabetes mellitus with retinopathy
18642,C10EH00,Type 1 diabetes mellitus with arthropathy
47649,C10E100,Type 1 diabetes mellitus with ophthalmic complications
62674,C10FA00,Type 2 diabetes mellitus with mononeuropathy
95992,C108A11,Type I diabetes mellitus without complication
42831,C10E200,Type 1 diabetes mellitus with neurological complications
711,C10..00,Diabetes mellitus
61071,C109D12,Type 2 diabetes mellitus with hypoglycaemic coma
10692,C10EM00,Type 1 diabetes mellitus with ketoacidosis
69993,C10E600,Type 1 diabetes mellitus with gangrene
26054,C10FL00,Type 2 diabetes mellitus with persistent proteinuria
47582,C10E000,Type 1 diabetes mellitus with renal complications
93878,C10E511,Type I diabetes mellitus with ulcer
96235,C10E911,Type I diabetes mellitus maturity onset
39317,C106100,"Diabetes mellitus, adult onset, + neurological manifestation"
108005,C109312,Type 2 diabetes mellitus with multiple complications
45491,C10z.00,Diabetes mellitus with unspecified complication
10098,C10yy00,Other specified diabetes mellitus with other spec comps
99231,C108B11,Type I diabetes mellitus with mononeuropathy
98616,C10F211,Type II diabetes mellitus with neurological complications
66145,C10EN11,Type I diabetes mellitus with ketoacidotic coma
44260,C108F00,Insulin dependent diabetes mellitus with diabetic cataract
40023,C102000,"Diabetes mellitus, juvenile type, with hyperosmolar coma"
39406,C109800,Reaven's syndrome
44443,C108500,Insulin dependent diabetes mellitus with ulcer
35385,C10FH00,Type 2 diabetes mellitus with neuropathic arthropathy
18505,C108.11,IDDM-Insulin dependent diabetes mellitus
56448,C108A00,Insulin-dependent diabetes without complication
43453,C10C.00,Diabetes mellitus autosomal dominant
40401,C109500,Non-insulin dependent diabetes mellitus with gangrene
49074,C10F400,Type 2 diabetes mellitus with ulcer
54773,C10F800,Reaven's syndrome
61523,C106y00,Other specified diabetes mellitus with neurological comps
65062,C103z00,Diabetes mellitus NOS with ketoacidotic coma
42505,C101z00,Diabetes mellitus NOS with ketoacidosis
12455,C10E.11,Type I diabetes mellitus
98392,C10C.12,Maturity onset diabetes in youth type 1
46624,C10C.11,Maturity onset diabetes in youth
1407,C10FJ00,Insulin treated Type 2 diabetes mellitus
63357,C107100,"Diabetes mellitus, adult, + peripheral circulatory disorder"
21983,C108012,Type 1 diabetes mellitus with renal complications
108360,C10P000,Type I diabetes mellitus in remission
35399,C107.00,Diabetes mellitus with peripheral circulatory disorder
18278,C109J00,Insulin treated Type 2 diabetes mellitus
43857,C10M.00,Lipoatrophic diabetes mellitus
50527,C10FB11,Type II diabetes mellitus with polyneuropathy
99716,C10EE12,Insulin dependent diabetes mellitus with hypoglycaemic coma
107701,C10FK11,Hyperosmolar non-ketotic state in type II diabetes mellitus
11551,C10B.00,Diabetes mellitus induced by steroids
22487,C10N.00,Secondary diabetes mellitus
60499,C108600,Insulin dependent diabetes mellitus with gangrene
37806,C10FF00,Type 2 diabetes mellitus with peripheral angiopathy
758,C10F.00,Type 2 diabetes mellitus
36695,C10D.00,Diabetes mellitus autosomal dominant type 2
24693,C109G00,Non-insulin dependent diabetes mellitus with arthropathy
33969,C10A100,Malnutrition-related diabetes mellitus with ketoacidosis
59903,C106.11,Diabetic amyotrophy
7795,C106.12,Diabetes mellitus with neuropathy
16491,C106.13,Diabetes mellitus with polyneuropathy
46301,C10EC00,Type 1 diabetes mellitus with polyneuropathy
51756,C10FP00,Type 2 diabetes mellitus with ketoacidotic coma
69278,C109E00,Non-insulin depend diabetes mellitus with diabetic cataract
18683,C10E500,Type 1 diabetes mellitus with ulcer
54600,C10E412,Unstable insulin dependent diabetes mellitus
49949,C10E411,Unstable type I diabetes mellitus
18390,C10FM00,Type 2 diabetes mellitus with persistent microalbuminuria
10418,C10ED00,Type 1 diabetes mellitus with nephropathy
62352,C108H11,Type I diabetes mellitus with arthropathy
58604,C109611,Type II diabetes mellitus with retinopathy
42762,C109612,Type 2 diabetes mellitus with retinopathy
64357,C10zz00,Diabetes mellitus NOS with unspecified complication
95351,C10FA11,Type II diabetes mellitus with mononeuropathy
104639,C10FF11,Type II diabetes mellitus with peripheral angiopathy
95539,C10FS00,Maternally inherited diabetes mellitus
102112,C10E611,Type I diabetes mellitus with gangrene
109051,C10E612,Insulin dependent diabetes mellitus with gangrene
68792,C10z000,"Diabetes mellitus, juvenile type, + unspecified complication"
56268,C109D11,Type II diabetes mellitus with hypoglycaemic coma
64446,C108G00,Insulin dependent diab mell with peripheral angiopathy
59725,C109111,Type II diabetes mellitus with ophthalmic complications
62613,C10EA11,Type I diabetes mellitus without complication
24694,C108B00,Insulin dependent diabetes mellitus with mononeuropathy
34268,C10F200,Type 2 diabetes mellitus with neurological complications
34912,C109400,Non-insulin dependent diabetes mellitus with ulcer
25591,C10FQ00,Type 2 diabetes mellitus with exudative maculopathy
47954,C10F900,Type 2 diabetes mellitus without complication
51957,C108511,Type I diabetes mellitus with ulcer
38617,C101y00,Other specified diabetes mellitus with ketoacidosis
66675,C10A000,Malnutrition-related diabetes mellitus with coma
65025,C107z00,Diabetes mellitus NOS with peripheral circulatory disorder
34283,C105z00,Diabetes mellitus NOS with ophthalmic manifestation
107824,C10P100,Type II diabetes mellitus in remission
46850,C108811,Type I diabetes mellitus - poor control
45914,C108812,Type 1 diabetes mellitus - poor control
98723,C10FD11,Type II diabetes mellitus with hypoglycaemic coma
107603,C10P.00,Diabetes mellitus in remission
102163,C10ED12,Insulin dependent diabetes mellitus with nephropathy
91942,C10E311,Type I diabetes mellitus with multiple complications
45276,C10E312,Insulin dependent diabetes mellitus with multiple complicat
46963,C108000,Insulin-dependent diabetes mellitus with renal complications
32556,C107.12,Diabetes with gangrene
32403,C107.11,Diabetes mellitus with gangrene
6509,C108700,Insulin dependent diabetes mellitus with retinopathy
59253,C10FG00,Type 2 diabetes mellitus with arthropathy
35288,C10E800,Type 1 diabetes mellitus - poor control
68105,C10EB00,Type 1 diabetes mellitus with mononeuropathy
34450,C10FK00,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
37648,C109J11,Insulin treated non-insulin dependent diabetes mellitus
18264,C109J12,Insulin treated Type II diabetes mellitus
18425,C10FB00,Type 2 diabetes mellitus with polyneuropathy
102946,C10E012,Insulin-dependent diabetes mellitus with renal complications
109837,C10E011,Type I diabetes mellitus with renal complications
48192,C109E11,Type II diabetes mellitus with diabetic cataract
22871,C10EP00,Type 1 diabetes mellitus with exudative maculopathy
57621,C108D00,Insulin dependent diabetes mellitus with nephropathy
16230,C106.00,Diabetes mellitus with neurological manifestation
70316,C109112,Type 2 diabetes mellitus with ophthalmic complications
66872,C108D11,Type I diabetes mellitus with nephropathy
57278,C10F011,Type II diabetes mellitus with renal complications
64571,C109C11,Type II diabetes mellitus with nephropathy
24836,C109C12,Type 2 diabetes mellitus with nephropathy
63762,C10z100,"Diabetes mellitus, adult onset, + unspecified complication"
85991,C10FM11,Type II diabetes mellitus with persistent microalbuminuria
65616,C108H00,Insulin dependent diabetes mellitus with arthropathy
68517,C10J.00,Insulin autoimmune syndrome
93380,C10N100,Cystic fibrosis related diabetes mellitus
40962,C109H00,Non-insulin dependent d m with neuropathic arthropathy
55842,C109200,Non-insulin-dependent diabetes mellitus with neuro comps
30294,C10EL00,Type 1 diabetes mellitus with persistent microalbuminuria
65267,C10F300,Type 2 diabetes mellitus with multiple complications
35105,C104100,"Diabetes mellitus, adult onset, with renal manifestation"
69676,C10EA00,Type 1 diabetes mellitus without complication
33254,C105.00,Diabetes mellitus with ophthalmic manifestation
15690,C103.00,Diabetes mellitus with ketoacidotic coma
41389,C105100,"Diabetes mellitus, adult onset, + ophthalmic manifestation"
62146,C109300,Non-insulin-dependent diabetes mellitus with multiple comps
65704,C109412,Type 2 diabetes mellitus with ulcer
55075,C109411,Type II diabetes mellitus with ulcer
41716,C108C00,Insulin dependent diabetes mellitus with polyneuropathy
69124,C107300,IDDM with peripheral circulatory disorder
104323,C10F511,Type II diabetes mellitus with gangrene
61829,C108212,Type 1 diabetes mellitus with neurological complications
49146,C108211,Type I diabetes mellitus with neurological complications
1038,C100011,Insulin dependent diabetes mellitus
53392,C10F911,Type II diabetes mellitus without complication
99719,C10EA12,Insulin-dependent diabetes without complication
94383,C10N000,Secondary diabetes mellitus without complication
2475,C104.11,Diabetic nephropathy
101735,C10E212,Insulin-dependent diabetes mellitus with neurological comps
49276,C108100,Insulin-dependent diabetes mellitus with ophthalmic comps
40682,C10E900,Type 1 diabetes mellitus maturity onset
6791,C108800,Insulin dependent diabetes mellitus - poor control
46917,C10FD00,Type 2 diabetes mellitus with hypoglycaemic coma
66965,C109H12,Type 2 diabetes mellitus with neuropathic arthropathy
47650,C10E300,Type 1 diabetes mellitus with multiple complications
43139,C102100,"Diabetes mellitus, adult onset, with hyperosmolar coma"
12640,C10FC00,Type 2 diabetes mellitus with nephropathy
18230,C108J12,Type 1 diabetes mellitus with neuropathic arthropathy
60208,C108J11,Type I diabetes mellitus with neuropathic arthropathy
44779,C109E12,Type 2 diabetes mellitus with diabetic cataract
41049,C108712,Type 1 diabetes mellitus with retinopathy
38161,C108711,Type I diabetes mellitus with retinopathy
103902,C10FG11,Type II diabetes mellitus with arthropathy
54899,C109F11,Type II diabetes mellitus with peripheral angiopathy
60699,C109F12,Type 2 diabetes mellitus with peripheral angiopathy
72702,C10E812,Insulin dependent diabetes mellitus - poor control
105337,C10E811,Type I diabetes mellitus - poor control
105784,C109912,Type 2 diabetes mellitus without complication
109103,C109911,Type II diabetes mellitus without complication
50429,C109100,Non-insulin-dependent diabetes mellitus with ophthalm comps
30323,C10EK00,Type 1 diabetes mellitus with persistent proteinuria
18777,C10F000,Type 2 diabetes mellitus with renal complications
59365,C109C00,Non-insulin dependent diabetes mellitus with nephropathy
12736,C10F500,Type 2 diabetes mellitus with gangrene
93468,C10EG00,Type 1 diabetes mellitus with peripheral angiopathy
47816,C109H11,Type II diabetes mellitus with neuropathic arthropathy
69748,C105000,"Diabetes mellitus, juvenile type, + ophthalmic manifestation"
67905,C109211,Type II diabetes mellitus with neurological complications
45919,C109212,Type 2 diabetes mellitus with neurological complications
102620,C10EL11,Type I diabetes mellitus with persistent microalbuminuria
43227,C10F311,Type II diabetes mellitus with multiple complications
33807,C107200,"Diabetes mellitus, adult with gangrene"
49655,C10F611,Type II diabetes mellitus with retinopathy
93922,C104000,"Diabetes mellitus, juvenile type, with renal manifestation"
106528,C10FN11,Type II diabetes mellitus with ketoacidosis
61344,C108011,Type I diabetes mellitus with renal complications
52283,C108200,Insulin-dependent diabetes mellitus with neurological comps
47377,C105y00,Other specified diabetes mellitus with ophthalmic complicatn
26855,C108400,Unstable insulin dependent diabetes mellitus
