prodcode,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader
23010,65697020,Rogitine 10mg/1ml solution for injection ampoules (Alliance Pharmaceuticals Ltd),Phentolamine mesilate,10mg/1ml,Solution for injection,Intravenous/Intramuscular,2050400,Alpha-adrenoceptor Blocking Drugs
12545,65694020,Phentolamine 10mg/1ml solution for injection ampoules,Phentolamine mesilate,10mg/1ml,Solution for injection,Intravenous/Intramuscular,2050400,Alpha-adrenoceptor Blocking Drugs
6809,86154020,Vardenafil 20mg tablets,Vardenafil hydrochloride trihydrate,20mg,Tablet,Oral,7040500,Drugs For Erectile Dysfunction
2727,86530020,Muse 250microgram urethral sticks (Meda Pharmaceuticals Ltd),Alprostadil,250microgram,Stick,Urethral,7040500,Drugs For Erectile Dysfunction
3066,73047020,Papaverine 40mg/ml injection,Papaverine Hydrochloride,40mg/ml,Injection,,7040500,Drugs For Erectile Dysfunction
5023,75569020,Alprostadil 20micrograms injection,Alprostadil,20micrograms,Injection,,7040500,Drugs For Erectile Dysfunction
11518,77385020,Alprostadil 20micrograms injection,Alprostadil,20micrograms,Injection,Intracavernosal Injection,7040500,Drugs For Erectile Dysfunction
28410,81143020,Prowess Plain 5mg tablets (Harley Street Supplies Ltd),Yohimbine hydrochloride,5mg,Tablet,Oral,7040500,Drugs For Erectile Dysfunction
60886,24133021,Spedra 50mg tablets (A. Menarini Farmaceutica Internazionale SRL),Avanafil,50mg,Tablet,Oral,7040500,Drugs For Erectile Dysfunction
60755,26655021,Alprostadil 3mg/g cream,,,,,7040500,Drugs For Erectile Dysfunction
61012,24130021,Avanafil 200mg tablets,Avanafil,200mg,Tablet,Oral,7040500,Drugs For Erectile Dysfunction
61844,14898020,Invicorp 2 solution for injection (Senetek Plc),Aviptadil/Phentolamine mesilate,71.43microgram/1ml + 5.71mg/1ml,Solution for injection,Intracavernous,7040500,Drugs For Erectile Dysfunction
60333,17134021,Nipatra 50mg chewable tablets (AMCo),Sildenafil citrate,50mg,Chewable tablet,Oral,7040500,Drugs For Erectile Dysfunction
5064,77386020,Alprostadil 40micrograms injection,Alprostadil,40micrograms,Injection,Intracavernosal Injection,7040500,Drugs For Erectile Dysfunction
22712,83412020,Viridal 10microgram Injection (Schwarz Pharma Ltd),Alprostadil,10microgram,Injection,Intracavernosal Injection,7040500,Drugs For Erectile Dysfunction
50177,29128020,Viridal Duo Starter Pack 10microgram powder and solvent for solution for injection cartridges with device (UCB Pharma Ltd),Alprostadil,10microgram,Powder and solvent for solution for injection,Intracavernous,7040500,Drugs For Erectile Dysfunction
51086,7260020,Alprostadil 10microgram powder and solvent for solution for injection cartridges,Alprostadil,10microgram,Powder and solvent for solution for injection,Intracavernous,7040500,Drugs For Erectile Dysfunction
33583,86790020,Papaverine 30mg/2ml solution for injection ampoules,Papaverine Hydrochloride,30mg/2ml,Injection,Intracavernosal Injection,7040500,Drugs For Erectile Dysfunction
57491,17131021,Sildenafil 25mg chewable tablets sugar free,,,,,7040500,Drugs For Erectile Dysfunction
5881,86527020,Alprostadil 1mg urethral sticks,Alprostadil,1mg,Stick,Urethral,7040500,Drugs For Erectile Dysfunction
39837,94000020,Papaverine 80mg/2ml hydrochloride,Papaverine Hydrochloride,80mg/2ml,Injection,Intracavernosal Injection,7040500,Drugs For Erectile Dysfunction
27023,73046020,Papaverine 4% injection,Papaverine Hydrochloride,4%,Injection,,7040500,Drugs For Erectile Dysfunction
10938,75570020,Alprostadil 10micrograms injection,Alprostadil,10micrograms,Injection,,7040500,Drugs For Erectile Dysfunction
57369,17129021,Sildenafil 100mg chewable tablets sugar free,,,,,7040500,Drugs For Erectile Dysfunction
61337,24132021,Avanafil 50mg tablets,Avanafil,50mg,Tablet,Oral,7040500,Drugs For Erectile Dysfunction
1255,86531020,Muse 500microgram urethral sticks (Meda Pharmaceuticals Ltd),Alprostadil,500microgram,Stick,Urethral,7040500,Drugs For Erectile Dysfunction
49766,13510020,Alprostadil 20microgram powder and solvent for solution for injection pre-filled disposable devices,Alprostadil,20microgram,Powder and solvent for solution for injection,Intracavernous,7040500,Drugs For Erectile Dysfunction
18035,82995020,Papaverine 80mg injection,Papaverine Hydrochloride,80mg,Injection,,7040500,Drugs For Erectile Dysfunction
52195,29131020,Alprostadil 40microgram powder and solvent for solution for injection cartridges with device,,,,,7040500,Drugs For Erectile Dysfunction
25010,75973020,Alprostadil 40micrograms injection,Alprostadil,40mcg,Injection,,7040500,Drugs For Erectile Dysfunction
61597,24129021,Spedra 100mg tablets (A. Menarini Farmaceutica Internazionale SRL),Avanafil,100mg,Tablet,Oral,7040500,Drugs For Erectile Dysfunction
45844,99620020,Levitra 10mg orodispersible tablets (Bayer Plc),Vardenafil hydrochloride trihydrate,10mg,Orodispersible tablet,Oral,7040500,Drugs For Erectile Dysfunction
50511,7257020,Alprostadil 20microgram powder and solvent for solution for injection vials,Alprostadil,20microgram,Powder and solvent for solution for injection,Intracavernous,7040500,Drugs For Erectile Dysfunction
60334,17130021,Nipatra 100mg chewable tablets (AMCo),,,,,7040500,Drugs For Erectile Dysfunction
7047,85613020,Viridal duo 10microgram Injection (UCB Pharma Ltd),Alprostadil,10microgram,Injection,Intracavernosal Injection,7040500,Drugs For Erectile Dysfunction
