medcode,readcode,readterm,category
12435,9i...00,Ethnic category - 2001 census,11
12351,9i0..00,British or mixed British - ethnic category 2001 census,1
98111,9i00.00,White British - ethnic category 2001 census,1
12532,9i1..00,Irish - ethnic category 2001 census,1
98213,9i10.00,White Irish - ethnic category 2001 census,1
12421,9i2..00,Other White background - ethnic category 2001 census,1
12352,9i20.00,English - ethnic category 2001 census,1
12436,9i21.00,Scottish - ethnic category 2001 census,1
12681,9i22.00,Welsh - ethnic category 2001 census,1
28887,9i23.00,Cornish - ethnic category 2001 census,1
42294,9i24.00,Northern Irish - ethnic category 2001 census,1
40102,9i25.00,Ulster Scots - ethnic category 2001 census,1
32778,9i26.00,Cypriot (part not stated) - ethnic category 2001 census,1
12355,9i27.00,Greek - ethnic category 2001 census,1
12769,9i28.00,Greek Cypriot - ethnic category 2001 census,1
12746,9i29.00,Turkish - ethnic category 2001 census,1
32413,9i2A.00,Turkish Cypriot - ethnic category 2001 census,1
12412,9i2B.00,Italian - ethnic category 2001 census,1
55223,9i2C.00,Irish Traveller - ethnic category 2001 census,1
55113,9i2D.00,Traveller - ethnic category 2001 census,9
42290,9i2E.00,Gypsy/Romany - ethnic category 2001 census,9
12467,9i2F.00,Polish - ethnic category 2001 census,1
12433,9i2G.00,Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census,1
28973,9i2H.00,Commonwealth (Russian) Indep States - ethn categ 2001 census,1
26341,9i2J.00,Kosovan - ethnic category 2001 census,1
25422,9i2K.00,Albanian - ethnic category 2001 census,1
46956,9i2L.00,Bosnian - ethnic category 2001 census,1
28866,9i2M.00,Croatian - ethnic category 2001 census,1
47074,9i2N.00,Serbian - ethnic category 2001 census,1
28936,9i2P.00,Other republics former Yugoslavia - ethnic categ 2001 census,1
26391,9i2Q.00,Mixed Irish and other White - ethnic category 2001 census,1
12402,9i2R.00,Oth White European/European unsp/Mixed European 2001 census,1
28900,9i2S.00,Other mixed White - ethnic category 2001 census,1
12591,9i2T.00,Other White or White unspecified ethnic category 2001 census,1
12742,9i3..00,White and Black Caribbean - ethnic category 2001 census,9
12437,9i4..00,White and Black African - ethnic category 2001 census,9
12638,9i5..00,White and Asian - ethnic category 2001 census,9
12873,9i6..00,Other Mixed background - ethnic category 2001 census,9
12795,9i60.00,Black and Asian - ethnic category 2001 census,9
49940,9i61.00,Black and Chinese - ethnic category 2001 census,9
40110,9i62.00,Black and White - ethnic category 2001 census,9
12706,9i63.00,Chinese and White - ethnic category 2001 census,9
47005,9i64.00,Asian and Chinese - ethnic category 2001 census,5
32408,9i65.00,Other Mixed or Mixed unspecified ethnic category 2001 census,9
12414,9i7..00,Indian or British Indian - ethnic category 2001 census,2
12460,9i8..00,Pakistani or British Pakistani - ethnic category 2001 census,3
28888,9i9..00,Bangladeshi or British Bangladeshi - ethn categ 2001 census,4
12513,9iA..00,Other Asian background - ethnic category 2001 census,5
26392,9iA1.00,Punjabi - ethnic category 2001 census,5
64133,9iA2.00,Kashmiri - ethnic category 2001 census,5
47077,9iA3.00,East African Asian - ethnic category 2001 census,5
12608,9iA4.00,Sri Lankan - ethnic category 2001 census,5
12760,9iA5.00,Tamil - ethnic category 2001 census,5
12887,9iA6.00,Sinhalese - ethnic category 2001 census,5
32399,9iA7.00,Caribbean Asian - ethnic category 2001 census,5
12653,9iA8.00,British Asian - ethnic category 2001 census,5
46056,9iA9.00,Mixed Asian - ethnic category 2001 census,5
28935,9iAA.00,Other Asian or Asian unspecified ethnic category 2001 census,5
12432,9iB..00,Caribbean - ethnic category 2001 census,9
12350,9iC..00,African - ethnic category 2001 census,7
32389,9iD..00,Other Black background - ethnic category 2001 census,10
12443,9iD0.00,Somali - ethnic category 2001 census,7
32886,9iD1.00,Nigerian - ethnic category 2001 census,7
40097,9iD2.00,Black British - ethnic category 2001 census,10
40096,9iD3.00,Mixed Black - ethnic category 2001 census,10
46047,9iD4.00,Other Black or Black unspecified ethnic category 2001 census,10
12468,9iE..00,Chinese - ethnic category 2001 census,8
12434,9iF..00,Other - ethnic category 2001 census,9
12719,9iF0.00,Vietnamese - ethnic category 2001 census,5
12473,9iF1.00,Japanese - ethnic category 2001 census,5
12420,9iF2.00,Filipino - ethnic category 2001 census,5
12730,9iF3.00,Malaysian - ethnic category 2001 census,5
63872,9iF4.00,Buddhist - ethnic category 2001 census,5
56127,9iF5.00,Hindu - ethnic category 2001 census,5
46063,9iF6.00,Jewish - ethnic category 2001 census,1
47091,9iF7.00,Muslim - ethnic category 2001 census,9
49658,9iF8.00,Sikh - ethnic category 2001 census,2
46059,9iF9.00,Arab - ethnic category 2001 census,9
47028,9iFA.00,North African - ethnic category 2001 census,9
28909,9iFB.00,"Mid East (excl Israeli, Iranian & Arab) - eth cat 2001 cens",5
46964,9iFC.00,Israeli - ethnic category 2001 census,1
25937,9iFD.00,Iranian - ethnic category 2001 census,5
45964,9iFE.00,Kurdish - ethnic category 2001 census,5
25451,9iFF.00,Moroccan - ethnic category 2001 census,9
26246,9iFG.00,Latin American - ethnic category 2001 census,9
12756,9iFH.00,South and Central American - ethnic category 2001 census,9
32382,9iFJ.00,Mauritian/Seychellois/Maldivian/St Helena eth cat 2001census,9
26455,9iFK.00,Any other group - ethnic category 2001 census,9
12459,9iG..00,Ethnic category not stated - 2001 census,11
10196,9S...00,Ethnic groups (census),11
22467,9S1..00,White,1
12446,9S10.00,White British,1
24837,9S11.00,White Irish,1
12444,9S12.00,Other white ethnic group,1
26467,9S13.00,White Scottish,1
26310,9S14.00,Other white British ethnic group,1
12632,9S2..00,Black Caribbean,6
12778,9S3..00,Black African,7
24339,9S4..00,"Black, other, non-mixed origin",10
12452,9S41.00,Black British,10
57435,9S42.00,Black Caribbean/W.I./Guyana,6
47950,9S42.11,Black Caribbean,6
47997,9S42.12,Black West Indian,6
32100,9S42.13,Black Guyana,6
41329,9S43.00,Black N African/Arab/Iranian,7
46812,9S43.11,Black North African,7
57752,9S43.12,Black Arab,10
50286,9S43.13,Black Iranian,10
35412,9S44.00,Black - other African country,7
47965,9S45.00,Black E Afric Asia/Indo-Caribb,10
57753,9S45.11,Black East African Asian,10
57763,9S45.12,Black Indo-Caribbean,10
48005,9S46.00,Black Indian sub-continent,10
35350,9S47.00,Black - other Asian,10
26312,9S48.00,Black Black - other,10
25676,9S5..00,"Black - other, mixed",10
25623,9S51.00,Other Black - Black/White orig,10
32165,9S52.00,Other Black - Black/Asian orig,10
12482,9S6..00,Indian,2
24690,9S7..00,Pakistani,3
24740,9S8..00,Bangladeshi,4
24272,9S9..00,Chinese,8
30280,9SA..00,Other ethnic non-mixed (NMO),9
32110,9SA1.00,Brit. ethnic minor. spec.(NMO),9
57764,9SA2.00,Brit. ethnic minor. unsp (NMO),9
54593,9SA3.00,Caribbean I./W.I./Guyana (NMO),9
57094,9SA3.11,Caribbean Island (NMO),9
57075,9SA3.12,West Indian (NMO),2
93144,9SA3.13,Guyana (NMO),9
24962,9SA4.00,N African Arab/Iranian (NMO),5
47285,9SA4.11,North African Arab (NMO),9
25082,9SA4.12,Iranian (NMO),5
47969,9SA5.00,Other African countries (NMO),7
38097,9SA6.00,E Afric Asian/Indo-Carib (NMO),5
46818,9SA6.11,East African Asian (NMO),5
99316,9SA6.12,Indo-Caribbean (NMO),9
39696,9SA7.00,Indian sub-continent (NMO),2
26379,9SA8.00,Other Asian (NMO),5
24270,9SA9.00,Irish (NMO),1
45947,9SAA.00,Greek/Greek Cypriot (NMO),1
45955,9SAA.11,Greek (NMO),1
47949,9SAA.12,Greek Cypriot (NMO),1
32066,9SAB.00,Turkish/Turkish Cypriot (NMO),1
32126,9SAB.11,Turkish (NMO),1
32069,9SAB.12,Turkish Cypriot (NMO),1
12633,9SAC.00,Other European (NMO),1
41214,9SAD.00,Other ethnic NEC (NMO),9
12696,9SB..00,"Other ethnic, mixed origin",9
47401,9SB1.00,"Other ethnic, Black/White orig",9
32401,9SB2.00,"Other ethnic, Asian/White orig",9
35459,9SB3.00,"Other ethnic, mixed white orig",9
32420,9SB4.00,"Other ethnic, other mixed orig",9
32425,9SB5.00,Black Caribbean and White,9
32443,9SB6.00,Black African and White,9
25411,9SC..00,Vietnamese,5
12429,9SD..00,Ethnic group not given - patient refused,11
24340,9SE..00,Ethnic group not recorded,11
32136,9SG..00,Other black ethnic group,10
12668,9SH..00,Other Asian ethnic group,5
47601,9SI..00,Irish traveller,9
12757,9SJ..00,Other ethnic group,9
45199,9SZ..00,Ethnic groups (census) NOS,11
