prodcode,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader
9375,83656020,Deflazacort 1mg tablets,Deflazacort,1mg,Tablet,Oral,6030200,Glucocorticoid Therapy
35453,92434020,Dexamethasone 3.3mg/1ml solution for injection ampoules,Dexamethasone sodium phosphate,3.3mg/1ml,Solution for injection,Intralesional/Intraarticular/Intravenous/Intramuscular/Intrabursal,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections
13397,64582020,Methylprednisolone sodium succinate 1g powder and solvent for solution for injection vials,Methylprednisolone sodium succinate,1gram,Powder and solvent for solution for injection,Intramuscular/Intravenous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections
25272,51208020,Precortisyl 1mg Tablet (Hoechst Marion Roussel),Prednisolone,1mg,Tablet,Oral,6030200,Glucocorticoid Therapy
4488,67171020,Triamcinolone acetonide 40mg/ml IA/IM,Triamcinolone Acetonide,40mg/ml,Intra-articular / Intramuscular Injection,,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections
64787,77481020,Hydrocortisone 10mg tablets (Almus Pharmaceuticals Ltd),Hydrocortisone,10mg,Tablet,Oral,6030200,Glucocorticoid Therapy
10683,64589020,Medrone 2mg tablets (Pfizer Ltd),Methylprednisolone,2mg,Tablet,Oral,6030200,Glucocorticoid Therapy
58592,46190020,Plenadren 20mg modified-release tablets (ViroPharma Ltd),,,,,6030200,Glucocorticoid Therapy
9994,57978020,Decadron 500microgram tablets (Merck Sharp & Dohme Ltd),Dexamethasone,500microgram,Tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency
51167,13779020,Solu-Cortef 100mg powder and solvent for solution for injection vials (Pfizer Ltd),Hydrocortisone sodium succinate,100mg,Powder and solvent for solution for injection,Intramuscular/Intravenous,6030200,Glucocorticoid Therapy
16582,91308020,Triamcinolone acetonide 40mg/ml suspension for injection,Triamcinolone Acetonide,40mg/ml,Injection Suspension,Tendon Sheath Injection,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections
768,56622020,Kenalog 40mg/ml Injection (E R Squibb and Sons Ltd),Triamcinolone Acetonide,40mg/ml,Injection,Intramuscular Deep Injection Gluteal Muscle,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections
57931,78292020,Hydrocortisone 20mg tablets (Teva UK Ltd),Hydrocortisone,20mg,Tablet,Oral,6030200,Glucocorticoid Therapy
1971,54445020,Betnesol 500microgram soluble tablets (Focus Pharmaceuticals Ltd),Betamethasone sodium phosphate,500microgram,Soluble tablet,Oral,6030200,Glucocorticoid Therapy
13972,71641020,Dexamethasone sodium phosphate 5mg/ml injection,Dexamethasone Sodium Phosphate,5mg/ml,Injection,,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections
35040,92111020,Depo-Medrone 120mg/3ml suspension for injection vials (Pfizer Ltd),Methylprednisolone acetate,40mg/1ml,Suspension for injection,Intramuscular/Intraarticular/Periarticular/Intralesional/Intrabursal,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections
5157,75321020,Dexamethasone 2mg/5ml oral solution,Dexamethasone,2mg/5ml,Oral Solution,Oral,6030200,Glucocorticoid Therapy
37500,92436020,Dexamethasone 6.6mg/2ml solution for injection vials,Dexamethasone sodium phosphate,3.3mg/1ml,Solution for injection,Intravenous/Intrabursal/Intraarticular/Intramuscular,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections
20577,83660020,Calcort 6mg Tablet (Shire Pharmaceuticals Ltd),Deflazacort,6mg,Tablet,Oral,06030200/08020200,Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants
25226,72920020,Solu-Medrone 125mg powder and solvent for solution for injection vials (Pfizer Ltd),Methylprednisolone sodium succinate,125mg,Powder and solvent for solution for injection,Intramuscular/Intravenous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections
14188,64579020,Methylprednisolone sodium succinate 500mg powder and solvent for solution for injection vials,Methylprednisolone sodium succinate,500mg,Powder and solvent for solution for injection,Intramuscular/Intravenous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections
49498,35237020,Hydrocortisone sodium succinate 100mg powder for solution for injection vials,Hydrocortisone sodium succinate,100mg,Powder for solution for injection,Intramuscular/Intravenous,6030200,Glucocorticoid Therapy
34631,62620020,Prednisolone 1mg Tablet (Co-Pharma Ltd),Prednisolone,1mg,Tablet,Oral,6030200,Glucocorticoid Therapy
31948,61648020,Dexamethasone 4mg/ml Injection (Mayne Pharma Plc 1),Dexamethasone Sodium Phosphate,4mg/ml,Injection,Subcutaneous Injection,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections
26300,62332020,Dexamethasone 20mg/ml shock pack,Dexamethasone Sodium Phosphate,20mg/ml,Shock Treatment Pack,,6030200,Glucocorticoid Therapy
