medcode,readcode,readterm
398,G580.00,Congestive heart failure
884,G581.00,Left ventricular failure
1223,G58..11,Cardiac failure
2062,G58..00,Heart failure
2906,G580.11,Congestive cardiac failure
4024,G58z.00,Heart failure NOS
5255,G581000,Acute left ventricular failure
5942,G581.13,Impaired left ventricular function
9524,G580.14,Biventricular failure
10079,G580.12,Right heart failure
10154,G580.13,Right ventricular failure
11424,G580300,Compensated cardiac failure
12590,G58z.11,Weak heart
13189,662g.00,New York Heart Association classification - class II
17278,G58z.12,Cardiac failure NOS
18853,662f.00,New York Heart Association classification - class I
19066,662h.00,New York Heart Association classification - class III
20822,Q48y100,Congenital cardiac failure
22262,G1yz100,Rheumatic left ventricular failure
23481,G581.11,Asthma - cardiac
23707,G580000,Acute congestive heart failure
27884,G580200,Decompensated cardiac failure
27964,G582.00,Acute heart failure
32671,G580100,Chronic congestive heart failure
43618,G581.12,Pulmonary oedema - acute
51214,662i.00,New York Heart Association classification - class IV
104275,G584.00,Right ventricular failure
11284,585f.00,Echocardiogram shows left ventricular systolic dysfunction
57987,G234.00,Hyperten heart&renal dis+both(congestv)heart and renal fail
94870,G580400,Congestive heart failure due to valvular disease
101138,G583.00,Heart failure with normal ejection fraction
101137,G583.11,HFNEF - heart failure with normal ejection fraction
