prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
43950,31979,98797020,Humulin I KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Nov-10
9363,40579,55040020,U100 Insulin syringe 0.5ml,,0.5ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
7228,532616,90297020,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pen (Novo Nordisk Ltd),Insulin aspart/Insulin aspart protamine,30unit/1ml + 70unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
11343,1228,70433020,Unilet universal comfortouch type A Lancet sterile single use AT460 0.45mm/26gauge (Owen Mumford Ltd),,0.45mm/26gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
14933,2763,90435020,Hypurin Porcine Isophane 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd),Insulin isophane porcine,100unit/1ml,Suspension for injection,Subcutaneous/Intramuscular,6010102,Intermediate- And Long-acting Insulins,Feb-09
1592,254206,58583020,Actrapid penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),Insulin Soluble Human,100iu/ml,Penfill,Subcutaneous Injection,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
28588,609,90461020,Hypurin Bovine Isophane 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd),Insulin isophane bovine,100unit/1ml,Suspension for injection,Subcutaneous/Intramuscular,6010102,Intermediate- And Long-acting Insulins,Feb-09
36031,94,90439020,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 3ml cartridges,Insulin isophane porcine/Insulin soluble porcine,70unit/1ml + 30unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010151,Biphasic Insulins,Feb-09
7400,69114,90331020,Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices,Insulin glargine,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
41120,5,90239020,Insulin isophane biphasic human 50/50 100units/ml suspension for injection 3ml pre-filled disposable devices,Insulin soluble human/Insulin isophane human,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Jan-10
5120,439,81092020,Unilet GP Lancet sterile single use Type A 0.81mm/21gauge (Owen Mumford Ltd),,0.81mm/21gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
13622,8032,84620020,Hypurin porcine neutral 100unit/ml Injection (C P Pharmaceuticals Ltd),Insulin soluble porcine,100unit/1ml,Solution for injection,Subcutaneous/Intravenous/Intramuscular,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
5953,124141,78521020,Insulin glargine 100iu/ml Injection,Insulin Glargine,100iu/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
10277,106710,90213020,Humulin M3 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),Insulin soluble human/Insulin isophane human,30unit/1ml + 70unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
18224,23140,90309020,Humalog 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd),Insulin lispro,100unit/1ml,Solution for injection,Intravenous/Intramuscular/Subcutaneous,6010101,Short-acting Insulins,Feb-09
53710,15,36452020,Insulin human 500units/ml solution for injection 20ml vials,Insulin human,500unit/1ml,Solution for injection,Subcutaneous,6010100,Insulins,Feb-13
55687,437,47929020,Insulin degludec 100units/ml solution for injection 3ml pre-filled disposable devices,,,,,6010102,Intermediate- And Long-acting Insulins,Jun-13
22945,582,84932020,Insuman rapid 100iu/ml Injection (Aventis Pharma),Insulin Soluble Human,100iu/ml,Injection,Subcutaneous Injection,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
20567,691,57112020,Ames type B Lancet sterile single use 0.65mm/23gauge (Bayer Diagnostics Manufacturing Ltd),,0.65mm/23gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
10207,848,90265020,Insulin isophane human 100units/ml suspension for injection 3ml cartridges,Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
14290,109192,90479020,Insulatard Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
14928,24310,90652020,Insulatard 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
29953,1160,91628020,Apidra 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi),Insulin glulisine,100unit/1ml,Solution for injection,Subcutaneous,6010101,Short-acting Insulins,Feb-09
10225,34172,90271020,Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi),Insulin glargine,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
30236,282,63843020,Isophane insulin 100iu/ml Injection,Insulin Isophane Bovine,100iu/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
10910,1654,79705020,Humaject m2 100iu/ml M2 pen (Eli Lilly and Company Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,M2 Pen,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
14918,10620,90273020,Humulin I 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
12840,2850,74844020,"B-d u-100 0.5ml Insulin syringe (Becton, Dickinson UK Ltd)",,0.5ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
16142,5330,90287020,Insulin aspart 100units/ml solution for injection 3ml cartridges,Insulin aspart,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Feb-09
56691,128,47931020,Insulin degludec 200units/ml solution for injection 3ml pre-filled disposable devices,,,,,6010102,Intermediate- And Long-acting Insulins,Aug-13
9388,326,55037020,Luer Mount Hypodermic needle Sp15[Sp2B],,,Hypodermic Needle,,06010103/59030300,Diabetes Hypodermic Equipment/-,Feb-09
