medcode,readcode,readterm,
13584,3885,Edinburgh postnatal depression scale,
29205,4453,Serum pregnancy test positive,
3030,4654,Urine pregnancy test positive,
44173,5391,Obstetric X-ray - fetus,
56727,5392,Obstetric X-ray - placenta,
27019,5841,U-S obstetric scan requested,
4797,5842,U-S obstetric scan normal,
29685,5843,U-S obstetric scan abnormal,
32975,6166,"Pregnant, diaphragm failure",
14994,6174,"Pregnant, sheath failure",
16215,6211,Pregnant - urine test confirms,
30817,6212,Pregnant - blood test confirms,
35592,6213,Pregnant - V.E. confirms,
15318,6214,Pregnant - on history,
51298,6215,Pregnant - on abdom. palpation,
20240,6216,Pregnant - planned,
14842,6217,Pregnant - unplanned - wanted,
15567,6218,Pregnant -unplanned-not wanted,
16750,6221,Antenatal care: primigravida,
29631,6222,Antenatal care: 2nd pregnancy,
29593,6223,Antenatal care: 3rd pregnancy,
31570,6224,Antenatal care: multip,
26875,6232,A/N care: recurrent aborter,
26691,6235,A/N care: H/O perinatal death,
26692,6236,A/N care: poor obstetr history,
37048,6282,A/N care:10yrs+since last preg,
67706,6292,Ante-natal care: not wanted,
57120,6293,Ante-natal care: not attended,
35309,6755,Post miscarriage counselling,
20933,6776,Preg. termination counselling,
9407,6776.11,Abortion counselling,
65231,9384,Obstetric coop card updated,
64738,9537,Complete post-natal care,
65905,9538,Part post-natal care-1 visit,
69627,9539,Part post-natal care-2 visits,
5044,13H7.00,Unwanted pregnancy,
14651,13H8.00,Illegitimate pregnancy,
37693,13Hd.00,Teenage pregnancy,
24038,13S..00,Pregnancy benefits,
50058,13SZ.00,Pregnancy benefit NOS,
13317,27...00,Obstetric examination,
13318,271..11,O/E - fundus size - obstetric,
11204,271..12,O/E - uterus size - obstetric,
26698,27Z..00,Obstetric examination NOS,
102362,389B.00,Assessment for termination of pregnancy,
13713,44B..00,Serum alpha-feto protein,
13715,44B1.00,Blood sent: alpha-feto protein,
26821,44B2.00,Alpha-feto protein normal,
59888,44B3.00,Alpha-feto protein equivocal,
19953,44B4.00,Alpha-feto protein raised,
34546,44B5.00,Alpha-feto protein low,
26897,44BZ.00,Alpha-feto protein NOS,
85961,44Cy.00,Serum pregnancy associated plasma protein-A MoM measurement,
