medcode,readcode,readterm,
6325,1464,H/O: schizophrenia,
11548,146D.00,H/O: manic depressive disorder,
12777,146H.00,H/O: psychosis,
15958,E1...00,Non-organic psychoses,
854,E10..00,Schizophrenic disorders,
32222,E100.00,Simple schizophrenia,
73295,E100.11,Schizophrenia simplex,
15733,E100000,Unspecified schizophrenia,
23616,E100100,Subchronic schizophrenia,
3984,E100200,Chronic schizophrenic,
57666,E100300,Acute exacerbation of subchronic schizophrenia,
44498,E100400,Acute exacerbation of chronic schizophrenia,
58687,E100500,Schizophrenia in remission,
53625,E100z00,Simple schizophrenia NOS,
30619,E101.00,Hebephrenic schizophrenia,
66506,E101000,Unspecified hebephrenic schizophrenia,
97919,E101400,Acute exacerbation of chronic hebephrenic schizophrenia,
67768,E101500,Hebephrenic schizophrenia in remission,
48054,E101z00,Hebephrenic schizophrenia NOS,
25546,E102.00,Catatonic schizophrenia,
58716,E102000,Unspecified catatonic schizophrenia,
99199,E102100,Subchronic catatonic schizophrenia,
107222,E102400,Acute exacerbation of chronic catatonic schizophrenia,
102427,E102500,Catatonic schizophrenia in remission,
63867,E102z00,Catatonic schizophrenia NOS,
1494,E103.00,Paranoid schizophrenia,
33383,E103000,Unspecified paranoid schizophrenia,
104760,E103100,Subchronic paranoid schizophrenia,
31362,E103200,Chronic paranoid schizophrenia,
51322,E103300,Acute exacerbation of subchronic paranoid schizophrenia,
53032,E103400,Acute exacerbation of chronic paranoid schizophrenia,
36172,E103500,Paranoid schizophrenia in remission,
9281,E103z00,Paranoid schizophrenia NOS,
576,E104.00,Acute schizophrenic episode,
93167,E104.11,Oneirophrenia,
66410,E105.00,Latent schizophrenia,
102311,E105000,Unspecified latent schizophrenia,
94299,E105200,Chronic latent schizophrenia,
96883,E105500,Latent schizophrenia in remission,
102446,E105z00,Latent schizophrenia NOS,
38063,E106.00,Residual schizophrenia,
2117,E107.00,Schizo-affective schizophrenia,
99000,E107.11,Cyclic schizophrenia,
58862,E107000,Unspecified schizo-affective schizophrenia,
61098,E107100,Subchronic schizo-affective schizophrenia,
43800,E107200,Chronic schizo-affective schizophrenia,
58866,E107300,Acute exacerbation subchronic schizo-affective schizophrenia,
63478,E107400,Acute exacerbation of chronic schizo-affective schizophrenia,
56438,E107500,Schizo-affective schizophrenia in remission,
10575,E107z00,Schizo-affective schizophrenia NOS,
39062,E10y.00,Other schizophrenia,
92994,E10y.11,Cenesthopathic schizophrenia,
33338,E10y000,Atypical schizophrenia,
99070,E10y100,Coenesthopathic schizophrenia,
49761,E10yz00,Other schizophrenia NOS,
8407,E10z.00,Schizophrenia NOS,
14656,E11..00,Affective psychoses,
8567,E11..11,Bipolar psychoses,
2560,E11..12,Depressive psychoses,
26161,E11..13,Manic psychoses,
37070,E110.00,"Manic disorder, single episode",
18909,E110.11,Hypomanic psychoses,
20110,E110000,"Single manic episode, unspecified",
14728,E110100,"Single manic episode, mild",
24640,E110200,"Single manic episode, moderate",
43093,E110300,"Single manic episode, severe without mention of psychosis",
50218,E110400,"Single manic episode, severe, with psychosis",
109485,E110500,Single manic episode in partial or unspecified remission,
70000,E110600,Single manic episode in full remission,
36611,E110z00,"Manic disorder, single episode NOS",
26227,E111.00,Recurrent manic episodes,
19967,E111000,"Recurrent manic episodes, unspecified",
46425,E111100,"Recurrent manic episodes, mild",
27739,E111200,"Recurrent manic episodes, moderate",
65811,E111300,"Recurrent manic episodes, severe without mention psychosis",
32295,E111400,"Recurrent manic episodes, severe, with psychosis",
58863,E111500,"Recurrent manic episodes, partial or unspecified remission",
37178,E111600,"Recurrent manic episodes, in full remission",
46415,E111z00,Recurrent manic episode NOS,
10610,E112.00,Single major depressive episode,
5879,E112.11,Agitated depression,
6546,E112.12,Endogenous depression first episode,
6950,E112.13,Endogenous depression first episode,
595,E112.14,Endogenous depression,
34390,E112000,"Single major depressive episode, unspecified",
16506,E112100,"Single major depressive episode, mild",
15155,E112200,"Single major depressive episode, moderate",
15219,E112300,"Single major depressive episode, severe, without psychosis",
32159,E112400,"Single major depressive episode, severe, with psychosis",
43324,E112500,"Single major depressive episode, partial or unspec remission",
57409,E112600,"Single major depressive episode, in full remission",
7011,E112z00,Single major depressive episode NOS,
15099,E113.00,Recurrent major depressive episode,
6932,E113.11,Endogenous depression - recurrent,
35671,E113000,"Recurrent major depressive episodes, unspecified",
29342,E113100,"Recurrent major depressive episodes, mild",
14709,E113200,"Recurrent major depressive episodes, moderate",
25697,E113300,"Recurrent major depressive episodes, severe, no psychosis",
24171,E113400,"Recurrent major depressive episodes, severe, with psychosis",
56273,E113500,"Recurrent major depressive episodes,partial/unspec remission",
55384,E113600,"Recurrent major depressive episodes, in full remission",
6482,E113700,Recurrent depression,
25563,E113z00,Recurrent major depressive episode NOS,
3702,E114.00,"Bipolar affective disorder, currently manic",
17385,E114.11,Manic-depressive - now manic,
35738,E114000,"Bipolar affective disorder, currently manic, unspecified",
36126,E114100,"Bipolar affective disorder, currently manic, mild",
46434,E114200,"Bipolar affective disorder, currently manic, moderate",
16347,E114300,"Bipolar affect disord, currently manic, severe, no psychosis",
55829,E114400,"Bipolar affect disord, currently manic,severe with psychosis",
59011,E114500,"Bipolar affect disord,currently manic, part/unspec remission",
63784,E114600,"Bipolar affective disorder, currently manic, full remission",
57605,E114z00,"Bipolar affective disorder, currently manic, NOS",
4677,E115.00,"Bipolar affective disorder, currently depressed",
12831,E115.11,Manic-depressive - now depressed,
15923,E115000,"Bipolar affective disorder, currently depressed, unspecified",
35734,E115100,"Bipolar affective disorder, currently depressed, mild",
27890,E115200,"Bipolar affective disorder, currently depressed, moderate",
35607,E115300,"Bipolar affect disord, now depressed, severe, no psychosis",
63701,E115400,"Bipolar affect disord, now depressed, severe with psychosis",
72026,E115500,"Bipolar affect disord, now depressed, part/unspec remission",
57465,E115600,"Bipolar affective disorder, now depressed, in full remission",
37296,E115z00,"Bipolar affective disorder, currently depressed, NOS",
31316,E116.00,Mixed bipolar affective disorder,
31535,E116000,"Mixed bipolar affective disorder, unspecified",
24689,E116100,"Mixed bipolar affective disorder, mild",
63150,E116200,"Mixed bipolar affective disorder, moderate",
63284,E116300,"Mixed bipolar affective disorder, severe, without psychosis",
54195,E116400,"Mixed bipolar affective disorder, severe, with psychosis",
63651,E116500,"Mixed bipolar affective disorder, partial/unspec remission",
55064,E116600,"Mixed bipolar affective disorder, in full remission",
63583,E116z00,"Mixed bipolar affective disorder, NOS",
14784,E117.00,Unspecified bipolar affective disorder,
49763,E117000,"Unspecified bipolar affective disorder, unspecified",
63698,E117100,"Unspecified bipolar affective disorder, mild",
68647,E117200,"Unspecified bipolar affective disorder, moderate",
73423,E117300,"Unspecified bipolar affective disorder, severe, no psychosis",
68326,E117400,"Unspecified bipolar affective disorder,severe with psychosis",
70721,E117500,"Unspecified bipolar affect disord, partial/unspec remission",
24230,E117600,"Unspecified bipolar affective disorder, in full remission",
27986,E117z00,"Unspecified bipolar affective disorder, NOS",
10825,E118.00,Seasonal affective disorder,
60178,E11y.00,Other and unspecified manic-depressive psychoses,
11596,E11y000,Unspecified manic-depressive psychoses,
70925,E11y100,Atypical manic disorder,
27491,E11y200,Atypical depressive disorder,
70399,E11y300,Other mixed manic-depressive psychoses,
33426,E11yz00,Other and unspecified manic-depressive psychoses NOS,
41992,E11z.00,Other and unspecified affective psychoses,
54607,E11z000,Unspecified affective psychoses NOS,
3489,E11z100,Rebound mood swings,
9183,E11z200,Masked depression,
33425,E11zz00,Other affective psychosis NOS,
4261,E12..00,Paranoid states,
14743,E120.00,Simple paranoid state,
3890,E121.00,Chronic paranoid psychosis,
109634,E121.11,Sander's disease,
14971,E122.00,Paraphrenia,
62680,E123.00,Shared paranoid disorder,
50868,E123.11,Folie a deux,
31589,E12y.00,Other paranoid states,
66766,E12y000,Paranoia querulans,
31455,E12yz00,Other paranoid states NOS,
12771,E12z.00,Paranoid psychosis NOS,
31984,E13..00,Other nonorganic psychoses,
20228,E13..11,Reactive psychoses,
8478,E130.00,Reactive depressive psychosis,
17770,E130.11,Psychotic reactive depression,
29937,E131.00,Acute hysterical psychosis,
7332,E132.00,Reactive confusion,
15053,E133.00,Acute paranoid reaction,
68058,E133.11,Bouffee delirante,
24345,E134.00,Psychogenic paranoid psychosis,
1055,E135.00,Agitated depression,
16333,E13y.00,Other reactive psychoses,
22117,E13y000,Psychogenic stupor,
23538,E13y100,Brief reactive psychosis,
26119,E13yz00,Other reactive psychoses NOS,
14965,E13z.00,Nonorganic psychosis NOS,
3636,E13z.11,Psychotic episode NOS,
3369,E212.00,Schizoid personality disorder,
67130,E212000,Unspecified schizoid personality disorder,
39011,E212100,Introverted personality,
61969,E212200,Schizotypal personality,
61969,E212200,Schizotypal personality,
14747,E212z00,Schizoid personality disorder NOS,
9971,Eu...00,[X]Mental and behavioural disorders,
17281,Eu2..00,"[X]Schizophrenia, schizotypal and delusional disorders",
34236,Eu20.00,[X]Schizophrenia,
16764,Eu20000,[X]Paranoid schizophrenia,
50060,Eu20011,[X]Paraphrenic schizophrenia,
43405,Eu20100,[X]Hebephrenic schizophrenia,
53985,Eu20111,[X]Disorganised schizophrenia,
61501,Eu20200,[X]Catatonic schizophrenia,
20572,Eu20211,[X]Catatonic stupor,
64533,Eu20212,[X]Schizophrenic catalepsy,
35877,Eu20213,[X]Schizophrenic catatonia,
31493,Eu20214,[X]Schizophrenic flexibilatis cerea,
60013,Eu20300,[X]Undifferentiated schizophrenia,
91547,Eu20311,[X]Atypical schizophrenia,
20785,Eu20400,[X]Post-schizophrenic depression,
64264,Eu20500,[X]Residual schizophrenia,
24107,Eu20511,[X]Chronic undifferentiated schizophrenia,
35848,Eu20600,[X]Simple schizophrenia,
49420,Eu20y00,[X]Other schizophrenia,
94001,Eu20y12,[X]Schizophreniform disord NOS,
18053,Eu20y13,[X]Schizophrenifrm psychos NOS,
34966,Eu20z00,"[X]Schizophrenia, unspecified",
39316,Eu21.00,[X]Schizotypal disorder,
91511,Eu21.11,[X]Latent schizophrenic reaction,
54387,Eu21.12,[X]Borderline schizophrenia,
64993,Eu21.13,[X]Latent schizophrenia,
62449,Eu21.14,[X]Prepsychotic schizophrenia,
40386,Eu21.15,[X]Prodromal schizophrenia,
49852,Eu21.16,[X]Pseudoneurotic schizophrenia,
71250,Eu21.17,[X]Pseudopsychopathic schizophrenia,
26859,Eu21.18,[X]Schizotypal personality disorder,
28562,Eu22.00,[X]Persistent delusional disorders,
34389,Eu22000,[X]Delusional disorder,
2113,Eu22011,[X]Paranoid psychosis,
11172,Eu22012,[X]Paranoid state,
47947,Eu22013,[X]Paraphrenia - late,
65127,Eu22014,[X]Sensitiver Beziehungswahn,
4843,Eu22015,[X]Paranoia,
62405,Eu22100,[X]Delusional misidentification syndrome,
55221,Eu22111,[X]Capgras syndrome,
98821,Eu22200,[X]Cotard syndrome,
101720,Eu22300,[X]Paranoid state in remission,
66077,Eu22y00,[X]Other persistent delusional disorders,
40981,Eu22y11,[X]Delusional dysmorphophobia,
50248,Eu22y12,[X]Involutional paranoid state,
55236,Eu22y13,[X]Paranoia querulans,
49223,Eu22z00,"[X]Persistent delusional disorder, unspecified",
25019,Eu23.00,[X]Acute and transient psychotic disorders,
36720,Eu23000,[X]Acute polymorphic psychot disord without symp of schizoph,
50023,Eu23011,[X]Bouffee delirante,
21455,Eu23012,[X]Cycloid psychosis,
21595,Eu23100,[X]Acute polymorphic psychot disord with symp of schizophren,
26143,Eu23112,[X]Cycloid psychosis with symptoms of schizophrenia,
11778,Eu23200,[X]Acute schizophrenia-like psychotic disorder,
59096,Eu23211,[X]Brief schizophreniform disorder,
70884,Eu23212,[X]Brief schizophrenifrm psych,
94604,Eu23214,[X]Schizophrenic reaction,
44307,Eu23300,[X]Other acute predominantly delusional psychotic disorders,
27770,Eu23312,[X]Psychogenic paranoid psychosis,
44503,Eu23y00,[X]Other acute and transient psychotic disorders,
34168,Eu23z00,"[X]Acute and transient psychotic disorder, unspecified",
31707,Eu23z11,[X]Brief reactive psychosis NOS,
29651,Eu23z12,[X]Reactive psychosis,
51302,Eu24.00,[X]Induced delusional disorder,
105606,Eu24.11,[X]Folie a deux,
47230,Eu24.12,[X]Induced paranoid disorder,
11973,Eu24.13,[X]Induced psychotic disorder,
9422,Eu25.00,[X]Schizoaffective disorders,
33847,Eu25000,"[X]Schizoaffective disorder, manic type",
16905,Eu25011,"[X]Schizoaffective psychosis, manic type",
51903,Eu25012,"[X]Schizophreniform psychosis, manic type",
11055,Eu25100,"[X]Schizoaffective disorder, depressive type",
35274,Eu25111,"[X]Schizoaffective psychosis, depressive type",
41022,Eu25112,"[X]Schizophreniform psychosis, depressive type",
33693,Eu25200,"[X]Schizoaffective disorder, mixed type",
104763,Eu25211,[X]Cyclic schizophrenia,
37580,Eu25212,[X]Mixed schizophrenic and affective psychosis,
58532,Eu25y00,[X]Other schizoaffective disorders,
37681,Eu25z00,"[X]Schizoaffective disorder, unspecified",
33410,Eu25z11,[X]Schizoaffective psychosis NOS,
101987,Eu26.00,[X]Nonorganic psychosis in remission,
30985,Eu2y.00,[X]Other nonorganic psychotic disorders,
31738,Eu2y.11,[X]Chronic hallucinatory psychosis,
11244,Eu2z.00,[X]Unspecified nonorganic psychosis,
694,Eu2z.11,[X]Psychosis NOS,
12173,Eu30.00,[X]Manic episode,
9521,Eu30.11,"[X]Bipolar disorder, single manic episode",
2741,Eu30000,[X]Hypomania,
13024,Eu30100,[X]Mania without psychotic symptoms,
21065,Eu30200,[X]Mania with psychotic symptoms,
37102,Eu30211,[X]Mania with mood-congruent psychotic symptoms,
48632,Eu30212,[X]Mania with mood-incongruent psychotic symptoms,
32088,Eu30y00,[X]Other manic episodes,
44513,Eu30z00,"[X]Manic episode, unspecified",
4678,Eu30z11,[X]Mania NOS,
6874,Eu31.00,[X]Bipolar affective disorder,
1531,Eu31.11,[X]Manic-depressive illness,
6710,Eu31.12,[X]Manic-depressive psychosis,
66153,Eu31.13,[X]Manic-depressive reaction,
16808,Eu31000,"[X]Bipolar affective disorder, current episode hypomanic",
26299,Eu31100,[X]Bipolar affect disorder cur epi manic wout psychotic symp,
28277,Eu31200,[X]Bipolar affect disorder cur epi manic with psychotic symp,
16562,Eu31300,[X]Bipolar affect disorder cur epi mild or moderate depressn,
23713,Eu31400,"[X]Bipol aff disord, curr epis sev depress, no psychot symp",
4732,Eu31500,[X]Bipolar affect dis cur epi severe depres with psyc symp,
44693,Eu31600,"[X]Bipolar affective disorder, current episode mixed",
27584,Eu31700,"[X]Bipolar affective disorder, currently in remission",
104065,Eu31800,[X]Bipolar affective disorder type I,
103915,Eu31900,[X]Bipolar affective disorder type II,
104051,Eu31911,[X]Bipolar II disorder,
53840,Eu31y00,[X]Other bipolar affective disorders,
73924,Eu31y11,[X]Bipolar II disorder,
51032,Eu31y12,[X]Recurrent manic episodes,
33751,Eu31z00,"[X]Bipolar affective disorder, unspecified",
12099,Eu32300,[X]Severe depressive episode with psychotic symptoms,
24117,Eu32311,[X]Single episode of major depression and psychotic symptoms,
52678,Eu32312,[X]Single episode of psychogenic depressive psychosis,
24112,Eu32313,[X]Single episode of psychotic depression,
28863,Eu32314,[X]Single episode of reactive depressive psychosis,
98417,Eu32800,"[X]Major depression, severe with psychotic symptoms",
3292,Eu33.00,[X]Recurrent depressive disorder,
29784,Eu33000,"[X]Recurrent depressive disorder, current episode mild",
29520,Eu33100,"[X]Recurrent depressive disorder, current episode moderate",
33469,Eu33200,[X]Recurr depress disorder cur epi severe without psyc sympt,
11329,Eu33211,[X]Endogenous depression without psychotic symptoms,
11252,Eu33212,"[X]Major depression, recurrent without psychotic symptoms",
29451,Eu33213,"[X]Manic-depress psychosis,depressd,no psychotic symptoms",
29451,Eu33213,"[X]Manic-depress psychosis,depressd,no psychotic symptoms",
73991,Eu33214,"[X]Vital depression, recurrent without psychotic symptoms",
47009,Eu33300,[X]Recurrent depress disorder cur epi severe with psyc symp,
23731,Eu33311,[X]Endogenous depression with psychotic symptoms,
28677,Eu33312,"[X]Manic-depress psychosis,depressed type+psychotic symptoms",
32941,Eu33313,[X]Recurr severe episodes/major depression+psychotic symptom,
31757,Eu33314,[X]Recurr severe episodes/psychogenic depressive psychosis,
16861,Eu33315,[X]Recurrent severe episodes of psychotic depression,
37764,Eu33316,[X]Recurrent severe episodes/reactive depressive psychosis,
22116,Eu33400,"[X]Recurrent depressive disorder, currently in remission",
47731,Eu33y00,[X]Other recurrent depressive disorders,
44300,Eu33z00,"[X]Recurrent depressive disorder, unspecified",
36616,Eu33z11,[X]Monopolar depression NOS,
22104,ZV11000,[V]Personal history of schizophrenia,
23963,ZV11111,[V]Personal history of manic-depressive psychosis,
22080,ZV11112,[V]Personal history of manic-depressive psychosis,
