prodcode,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader
60160,10787020,Rosuvastatin 5mg tablets (Mawdsley-Brooks & Company Ltd),Rosuvastatin calcium,5mg,Tablet,Oral,2120400,Statins
52098,69807020,Simvastatin 40mg tablets (Ranbaxy (UK) Ltd),Simvastatin,40mg,Tablet,Oral,2120400,Statins
34969,65939020,Simvastatin 40mg tablets (Actavis UK Ltd),Simvastatin,40mg,Tablet,Oral,2120400,Statins
42,72487020,Simvastatin 10mg tablets,Simvastatin,10mg,Tablet,Oral,2120400,Statins
61665,47199020,Simvastatin 10mg tablets (Waymade Healthcare Plc),Simvastatin,10mg,Tablet,Oral,2120400,Statins
54976,2486020,Simvastatin 10mg tablets (Somex Pharma),Simvastatin,10mg,Tablet,Oral,2120400,Statins
6168,72484020,Zocor 40mg tablets (Merck Sharp & Dohme Ltd),Simvastatin,40mg,Tablet,Oral,2120400,Statins
65193,17407021,Atorvastatin 20mg tablets (Ranbaxy (UK) Ltd),Atorvastatin calcium trihydrate,20mg,Tablet,Oral,2120400,Statins
41657,66993020,Simvastatin 80mg tablets (Teva UK Ltd),Simvastatin,80mg,Tablet,Oral,2120400,Statins
50703,2523020,Simvastatin 40mg tablets (Accord Healthcare Ltd),Simvastatin,40mg,Tablet,Oral,2120400,Statins
63140,41341020,Atorvastatin 10mg tablets (Alliance Healthcare (Distribution) Ltd),Atorvastatin calcium trihydrate,10mg,Tablet,Oral,2120400,Statins
13041,87025020,Simvador 10mg tablets (Discovery Pharmaceuticals),Simvastatin,10mg,Tablet,Oral,2120400,Statins
55034,35417020,Atorvastatin 40mg/5ml oral suspension,Atorvastatin calcium trihydrate,8mg/1ml,Oral suspension,Oral,2120400,Statins
51200,41905020,Atorvastatin 40mg tablets (Arrow Generics Ltd),Atorvastatin calcium trihydrate,40mg,Tablet,Oral,2120400,Statins
7374,83954020,Lipitor 20mg tablets (Pfizer Ltd),Atorvastatin calcium trihydrate,20mg,Tablet,Oral,2120400,Statins
54947,71626020,Simvastatin 20mg tablets (Almus Pharmaceuticals Ltd),Simvastatin,20mg,Tablet,Oral,2120400,Statins
5775,81727020,Atorvastatin 80mg tablets,Atorvastatin calcium trihydrate,80mg,Tablet,Oral,2120400,Statins
40601,69804020,Simvastatin 20mg tablets (Ranbaxy (UK) Ltd),Simvastatin,20mg,Tablet,Oral,2120400,Statins
47774,66058020,Simvastatin 10mg tablets (Arrow Generics Ltd),Simvastatin,10mg,Tablet,Oral,2120400,Statins
64825,14784021,Atorvastatin 10mg tablets (Phoenix Healthcare Distribution Ltd),Atorvastatin calcium trihydrate,10mg,Tablet,Oral,2120400,Statins
53460,10669020,Crestor 10mg tablets (DE Pharmaceuticals),Rosuvastatin calcium,10mg,Tablet,Oral,2120400,Statins
53770,75882020,Fluvastatin 40mg capsules (A A H Pharmaceuticals Ltd),Fluvastatin sodium,40mg,Capsule,Oral,2120400,Statins
57834,16680021,Atorvastatin 40mg tablets (DE Pharmaceuticals),Atorvastatin calcium trihydrate,40mg,Tablet,Oral,2120400,Statins
53772,41292020,Atorvastatin 80mg tablets (Alliance Healthcare (Distribution) Ltd),Atorvastatin calcium trihydrate,80mg,Tablet,Oral,2120400,Statins
61360,71623020,Simvastatin 10mg tablets (Almus Pharmaceuticals Ltd),Simvastatin,10mg,Tablet,Oral,2120400,Statins
34366,65924020,Simvastatin 20mg tablets (IVAX Pharmaceuticals UK Ltd),Simvastatin,20mg,Tablet,Oral,2120400,Statins
63787,2539020,Pravastatin 10mg tablets (Tillomed Laboratories Ltd),Pravastatin sodium,10mg,Tablet,Oral,2120400,Statins
49751,41330020,Atorvastatin 40mg tablets (Alliance Healthcare (Distribution) Ltd),Atorvastatin calcium trihydrate,40mg,Tablet,Oral,2120400,Statins
48518,35411020,Atorvastatin 10mg/5ml oral solution,Atorvastatin calcium trihydrate,2mg/1ml,Oral solution,Oral,2120400,Statins
4961,84284020,Lipobay 300microgram Tablet (Bayer Plc),Cerivastatin sodium,300microgram,Tablet,Oral,2120400,Statins
55727,41337020,Atorvastatin 10mg tablets (Actavis UK Ltd),Atorvastatin calcium trihydrate,10mg,Tablet,Oral,2120400,Statins
55032,41336020,Atorvastatin 10mg tablets (Dexcel-Pharma Ltd),Atorvastatin calcium trihydrate,10mg,Tablet,Oral,2120400,Statins
25,72488020,Simvastatin 20mg tablets,Simvastatin,20mg,Tablet,Oral,2120400,Statins
46878,71629020,Simvastatin 40mg tablets (Almus Pharmaceuticals Ltd),Simvastatin,40mg,Tablet,Oral,2120400,Statins
52953,2506020,Simvastatin 20mg tablets (Bristol Laboratories Ltd),Simvastatin,20mg,Tablet,Oral,2120400,Statins
48221,37402020,Simvastatin 20mg/5ml oral suspension sugar free,,,,,2120400,Statins
60607,16641021,Atorvastatin 80mg tablets (DE Pharmaceuticals),Atorvastatin calcium trihydrate,80mg,Tablet,Oral,2120400,Statins
17688,89883020,Crestor 5mg tablets (AstraZeneca UK Ltd),Rosuvastatin calcium,5mg,Tablet,Oral,2120400,Statins
51233,2479020,Simvastatin 10mg tablets (Alliance Healthcare (Distribution) Ltd),Simvastatin,10mg,Tablet,Oral,2120400,Statins
50963,41328020,Atorvastatin 40mg tablets (Teva UK Ltd),Atorvastatin calcium trihydrate,40mg,Tablet,Oral,2120400,Statins
53887,41326020,Atorvastatin 40mg tablets (Actavis UK Ltd),Atorvastatin calcium trihydrate,40mg,Tablet,Oral,2120400,Statins
9920,87027020,Simvador 20mg tablets (Discovery Pharmaceuticals),Simvastatin,20mg,Tablet,Oral,2120400,Statins
34907,65910020,Simvastatin 40mg tablets (Wockhardt UK Ltd),Simvastatin,40mg,Tablet,Oral,2120400,Statins
730,73783020,Pravastatin 20mg tablets,Pravastatin sodium,20mg,Tablet,Oral,2120400,Statins
34746,65949020,Simvastatin 20mg Tablet (Niche Generics Ltd),Simvastatin,20mg,Tablet,Oral,2120400,Statins
44650,66659020,Simvastatin 40mg tablets (Dexcel-Pharma Ltd),Simvastatin,40mg,Tablet,Oral,2120400,Statins
49587,71634020,Simvastatin 80mg tablets (Almus Pharmaceuticals Ltd),Simvastatin,80mg,Tablet,Oral,2120400,Statins
17683,81729020,Lipitor 80mg tablets (Pfizer Ltd),Atorvastatin calcium trihydrate,80mg,Tablet,Oral,2120400,Statins
60251,68335020,Pravastatin 10mg tablets (Sandoz Ltd),Pravastatin sodium,10mg,Tablet,Oral,2120400,Statins
51622,41349020,Atorvastatin 20mg tablets (Consilient Health Ltd),Atorvastatin calcium trihydrate,20mg,Tablet,Oral,2120400,Statins
62979,2558020,Pravastatin 40mg tablets (Kent Pharmaceuticals Ltd),Pravastatin sodium,40mg,Tablet,Oral,2120400,Statins
31930,88103020,Zocor heart-pro 10mg Tablet (McNeil Products Ltd),Simvastatin,10mg,Tablet,Oral,2120400,Statins
58041,41346020,Atorvastatin 20mg tablets (Teva UK Ltd),Atorvastatin calcium trihydrate,20mg,Tablet,Oral,2120400,Statins
7554,89881020,Rosuvastatin 5mg tablets,Rosuvastatin calcium,5mg,Tablet,Oral,2120400,Statins
59446,47193020,Atorvastatin 40mg tablets (Almus Pharmaceuticals Ltd),Atorvastatin calcium trihydrate,40mg,Tablet,Oral,2120400,Statins
