medcode,readcode,readterm,
43,467..00,Urine protein test,
8482,467A.00,24 hour urine protein output,
9430,4679,Urine dipstick for protein,
13590,4674,Urine protein test = +,
13600,4677,Urine protein test = ++++,
13611,4675,Urine protein test = ++,
13612,4673,Urine protein test = trace,
13613,46N2.00,Urine protein abnormal,
13621,4676,Urine protein test = +++,
14091,4672,Urine protein test negative,
14092,4671,Urine protein test not done,
14094,467E.00,Urine protein level,
14382,46N1.00,Urine protein normal,
14395,46N..00,Urine protein,
14429,46N3.00,Urine total protein,
27059,467Z.00,Urine protein test NOS,
27214,46NZ.00,Urine protein NOS,
43262,467H.00,Random urine protein level,
49741,68K2.00,Urine screen for protein,
